   PID TTY      STAT   TIME COMMAND
  2104 ?        Ssl    0:01 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
  2167 ?        Sl     0:00 /usr/libexec/imsettings-daemon
  2171 ?        Sl     0:00 /usr/libexec/gvfsd
  2176 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
  2271 ?        Ss     0:01 /usr/bin/ssh-agent /bin/sh -c exec -l /bin/bash -c "env GNOME_SHELL_SESSION_MODE=classic gnome-session --session gnome-classic"
  2289 ?        Sl     0:00 /usr/libexec/at-spi-bus-launcher
  2294 ?        Sl     0:00 /bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
  2297 ?        Sl     0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
  2330 ?        Sl     2:12 /usr/bin/gnome-shell
  2343 ?        S<l    0:03 /usr/bin/pulseaudio --start --log-target=syslog
  2389 ?        Sl     0:00 /usr/libexec/xdg-permission-store
  2391 ?        Sl     0:00 /usr/libexec/gnome-shell-calendar-server
  2398 ?        Ssl    0:03 /usr/libexec/geoclue -t 5
  2405 ?        Sl     0:01 /usr/libexec/mission-control-5
  2411 ?        Sl     0:00 /usr/libexec/evolution-source-registry
  2413 ?        Sl     0:02 /usr/libexec/gvfs-udisks2-volume-monitor
  2420 ?        Sl     0:01 /usr/libexec/goa-daemon
  2429 ?        Sl     0:00 /usr/libexec/gvfs-afc-volume-monitor
  2444 ?        Sl     0:11 /usr/libexec/goa-identity-service
  2449 ?        Sl     0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
  2488 ?        Sl     0:00 /usr/libexec/gvfs-mtp-volume-monitor
  2495 ?        Sl     0:00 /usr/libexec/gvfs-goa-volume-monitor
  2501 ?        Sl     4:45 /usr/libexec/gsd-account
  2507 ?        Sl     0:00 /usr/libexec/gsd-mouse
  2508 ?        Sl     0:01 /usr/libexec/gsd-power
  2510 ?        Sl     0:00 /usr/libexec/gsd-print-notifications
  2513 ?        Sl     0:00 /usr/libexec/gsd-rfkill
  2515 ?        Sl     0:00 /usr/libexec/gsd-screensaver-proxy
  2519 ?        Sl     0:00 /usr/libexec/gsd-smartcard
  2521 ?        Sl     0:00 /usr/libexec/gsd-wacom
  2527 ?        Sl     0:00 /usr/libexec/gsd-xsettings
  2531 ?        Sl     0:00 /usr/libexec/gsd-sound
  2534 ?        Sl     0:01 /usr/libexec/gsd-sharing
  2548 ?        Sl     0:00 /usr/libexec/gsd-a11y-keyboard
  2549 ?        Sl     0:00 /usr/libexec/gsd-a11y-settings
  2550 ?        Sl     0:00 /usr/libexec/gsd-clipboard
  2552 ?        Sl     0:36 /usr/libexec/gsd-color
  2555 ?        Sl     0:00 /usr/libexec/gsd-datetime
  2557 ?        Sl     0:06 /usr/libexec/gsd-housekeeping
  2558 ?        Sl     0:00 /usr/libexec/gsd-keyboard
  2560 ?        Sl     0:01 /usr/libexec/gsd-media-keys
  2590 ?        Sl     0:00 /usr/libexec/gsd-printer
  2617 ?        Sl     0:02 nautilus-desktop --force
  2647 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
  2651 ?        Sl     0:00 /usr/libexec/evolution-calendar-factory
  2666 ?        Sl     0:24 /usr/bin/gnome-software --gapplication-service
  2670 ?        S      3:07 /usr/bin/vmtoolsd -n vmusr
  2690 ?        Sl     0:02 abrt-applet
  2695 ?        Sl     0:00 /usr/libexec/tracker-store
  2710 ?        SNl    0:00 /usr/libexec/tracker-extract
  2749 ?        SNl    0:00 /usr/libexec/tracker-miner-apps
  2778 ?        SNl    0:00 /usr/libexec/tracker-miner-fs
  2780 ?        SNl    0:00 /usr/libexec/tracker-miner-user-guides
  2788 ?        S      0:00 /usr/bin/seapplet
  3042 ?        Sl     0:07 /usr/bin/ibus-daemon -r --xim
  3044 ?        Sl     0:00 /usr/libexec/dconf-service
  3049 ?        Sl     0:00 /usr/libexec/ibus-dconf
